settlement_id,transaction_id,settlement_date,settlement_amount
SET2000000,TXN1000000,2025-02-02,41.13
SET2000001,TXN1000001,2025-10-10,102.22
SET2000002,TXN1000002,2025-08-27,65.43
SET2000003,TXN1000003,2025-06-10,45.52
SET2000004,TXN1000004,2025-06-10,32.38
SET2000005,TXN1000006,2025-02-01,60.02
SET2000006,TXN1000007,2025-09-14,337.19
SET2000007,TXN1000008,2025-03-15,104.86
SET2000008,TXN1000009,2025-02-04,22.96
SET2000009,TXN1000010,2025-07-12,117.42
SET2000010,TXN1000011,2025-12-24,36.34
SET2000011,TXN1000013,2025-10-05,41.63
SET2000012,TXN1000014,2025-09-19,336.37
SET2000013,TXN1000015,2025-10-14,26.92
SET2000014,TXN1000016,2025-07-07,85.7
SET2000015,TXN1000017,2025-02-16,38.54
SET2000016,TXN1000018,2025-11-03,120.43
SET2000017,TXN1000019,2025-06-14,84.33
SET2000018,TXN1000020,2025-07-02,181.93
SET2000019,TXN1000021,2025-05-17,118.45
SET2000020,TXN1000023,2025-12-05,687.43
SET2000021,TXN1000024,2025-10-13,103.99
SET2000022,TXN1000025,2025-08-24,42.93
SET2000023,TXN1000026,2025-05-27,78.6
SET2000024,TXN1000027,2025-10-28,110.46
SET2000025,TXN1000028,2025-07-19,107.15
SET2000026,TXN1000029,2025-06-11,99.17
SET2000027,TXN1000031,2025-03-24,133.56
SET2000028,TXN1000032,2025-02-03,33.85
SET2000029,TXN1000033,2025-07-22,360.12
SET2000030,TXN1000034,2025-11-21,322.18
SET2000031,TXN1000035,2025-01-24,126.57
SET2000032,TXN1000036,2025-11-10,68.78
SET2000033,TXN1000037,2025-10-30,69.74
SET2000034,TXN1000038,2025-04-12,51.47
SET2000035,TXN1000039,2025-08-19,57.08
SET2000036,TXN1000040,2025-03-03,11.59
SET2000037,TXN1000041,2025-10-05,226.83
SET2000038,TXN1000042,2025-09-13,171.05
SET2000039,TXN1000043,2025-05-10,17.44
SET2000040,TXN1000044,2025-01-25,135.91
SET2000041,TXN1000045,2025-12-22,66.28
SET2000042,TXN1000046,2025-06-12,56.87
SET2000043,TXN1000047,2025-11-22,98.92
SET2000044,TXN1000048,2025-09-05,16.54
SET2000045,TXN1000050,2025-10-05,71.06
SET2000046,TXN1000051,2025-03-13,71.12
SET2000047,TXN1000052,2025-05-13,22.33
SET2000048,TXN1000053,2025-06-20,95.35
SET2000049,TXN1000054,2025-07-01,155.69
SET2000050,TXN1000055,2025-01-16,92.38
SET2000051,TXN1000056,2025-07-20,55.51
SET2000052,TXN1000057,2025-02-28,573.2
SET2000053,TXN1000058,2025-09-29,31.83
SET2000054,TXN1000059,2025-09-07,123.81
SET2000055,TXN1000060,2025-12-03,81.01
SET2000056,TXN1000061,2025-09-29,333.57
SET2000057,TXN1000062,2025-05-14,90.87
SET2000058,TXN1000063,2025-12-20,107.87
SET2000059,TXN1000064,2025-05-30,99.94
SET2000060,TXN1000065,2025-04-29,28.6
SET2000061,TXN1000066,2025-11-27,33.28
SET2000062,TXN1000067,2025-05-16,53.49
SET2000063,TXN1000068,2025-01-28,143.44
SET2000064,TXN1000069,2025-06-21,80.36
SET2000065,TXN1000070,2025-10-18,56.52
SET2000066,TXN1000071,2025-03-11,199.89
SET2000067,TXN1000072,2025-06-18,13.65
SET2000068,TXN1000073,2025-02-17,23.65
SET2000069,TXN1000074,2025-09-09,9.05
SET2000070,TXN1000075,2025-06-23,175.33
SET2000071,TXN1000076,2025-05-01,61.72
SET2000072,TXN1000077,2025-03-24,144.46
SET2000073,TXN1000078,2025-07-26,61.1
SET2000074,TXN1000080,2025-12-10,60.26
SET2000075,TXN1000081,2025-06-10,92.57
SET2000076,TXN1000082,2025-03-01,82.34
SET2000077,TXN1000083,2025-10-31,87.37
SET2000078,TXN1000084,2025-08-18,256.67
SET2000079,TXN1000088,2025-10-08,69.31
SET2000080,TXN1000089,2025-10-31,48.51
SET2000081,TXN1000090,2025-06-08,43.48
SET2000082,TXN1000091,2025-10-21,226.79
SET2000083,TXN1000092,2025-11-05,63.02
SET2000084,TXN1000093,2025-05-22,468.88
SET2000085,TXN1000094,2025-11-24,101.76
SET2000086,TXN1000095,2025-04-16,52.89
SET2000087,TXN1000096,2025-03-29,103.77
SET2000088,TXN1000097,2025-09-07,72.76
SET2000089,TXN1000098,2025-08-22,195.12
SET2000090,TXN1000099,2025-02-22,26.2
SET2000091,TXN1000101,2025-03-14,80.6
SET2000092,TXN1000102,2025-10-21,130.13
SET2000093,TXN1000104,2025-10-18,114.2
SET2000094,TXN1000105,2025-10-16,101.53
SET2000095,TXN1000106,2025-10-12,20.4
